   3.347610158081E+001   1.209862662339E+003                   NaN   3.700263102297E+001  -9.998730009313E+000
   3.346822652463E+001   1.210746033041E+003   3.052856552520E+000   3.698845390825E+001  -1.000601985447E+001
   3.342620273071E+001   1.209072255820E+003   6.003599690869E+000   3.694582214480E+001  -9.992230304980E+000
   3.343669557387E+001   1.211376743095E+003   8.954610741005E+000   3.694709713025E+001  -1.001122449972E+001
   3.337863939836E+001   1.208586222859E+003   1.186853335213E+001   3.688813061664E+001  -9.988203785595E+000
   3.340022126892E+001   1.211752471102E+003   1.474522454477E+001   3.690258063514E+001  -1.001432260576E+001
   3.333269561305E+001   1.208309449142E+003   1.758585365417E+001   3.683557685426E+001  -9.985922111641E+000
   3.336025672087E+001   1.211941061092E+003   2.039092351825E+001   3.685609409556E+001  -1.001588054993E+001
   3.328794756943E+001   1.208184376370E+003   2.316086824768E+001   3.678523816929E+001  -9.984889568708E+000
   3.331790209806E+001   1.212003706916E+003   2.589614390022E+001   3.680841760041E+001  -1.001639600028E+001
