                   NaN   0.000000000000E+000   2.420000000000E+002   3.699185352451E+001   3.057177977232E-001
                   NaN  -1.083611448752E+003   4.825781272241E+002                   NaN                   NaN
                   NaN  -8.913271800004E+002   6.402626792337E+002                   NaN                   NaN
                   NaN  -6.805313721634E+002   6.489931257108E+002                   NaN                   NaN
                   NaN  -5.062636032551E+002   6.644757314390E+002                   NaN                   NaN
                   NaN  -3.351667526560E+002   6.839328499019E+002                   NaN                   NaN
                   NaN  -1.913230800455E+002   7.083457829600E+002                   NaN                   NaN
                   NaN  -5.223613816416E+001   7.360112488772E+002                   NaN                   NaN
                   NaN   6.630549481514E+001   7.675105119941E+002                   NaN                   NaN
                   NaN   1.795139697854E+002   8.016435659055E+002                   NaN                   NaN
